index,text,year
1,BREAKING : Indian Railways renames Tipu Express as Wodeyar Express.,2022
2,"ट्रेन में हर स्लीपर क्लास में एक ऐसा व्यक्ति जरूर होता है जो हर बार एसी कोच में सफर करता है लेकिन इस बार उसको टिकट नहीं मिल पाई वेटिंग की वजह से 
#trains 
#IndianRailways",2022
3,"Window gap too much, cold wind coming inside.
Train no. 12991
Seat: D2 - 30 (window unfix)
Dt: 27/12/2022

#IndianRailways",2022
4,"Indian Railways has placed an order to procure 39,000 wheels for train coaches from a Chinese firm, the Centre admits in Lok Sabha. China provokes us daily & yet the BJP govt patronises Chinese companies. This is the reality of Aatmanirbhar Bharat under 
@narendramodi
!",2022
5,"#piyushgoyal #AswiniVaishnav #indianrailways 
#ministryofrailways #RailMinIndia 
12560के s4,s5 के दिल्ली से चेक करने वाले टीटी द्वारा रात 12 बजे स्लिपर में जनरल टिकट वालो से धन उगाही पर ध्यान दे,मेरे पास कोई सबुत नही है",2022
6,"Are you fucking mad 
@indianrail
 without any reason stopped train at non stop station and we the payer of ticket got stuck to waste our time..
Why are you not taking some good steps for train management.
#IndianRailways #ashwanivaishnaw #NarendraModi #PMOIndia",2022
7,"Train no 12905 Shalimar Express stuck at Bilaspur. Already delayed by over 3 hrs.
Superfast trains in India. #irony
 #IndianRailways 
@RailMinIndia
 
@IRCTCofficial
 
@serailwaykol",2022
8,"Train no 04499 Daily passenger Daily 2-3 Ganta late ho rahi yeh Train Delhi to Rewari daily passenger train hai maximum late aati hai Iss par action le 
@RailMinIndia
 @RailwayNorthern
 
@PMOIndia
 @narendramodi
 

#railway #IndianRailways",2022
9,"#piyushgoyal 12560,29dec2022 #indianrailways 
#ministryofrailways #RailMinIndia ,1 लड़का गलती से स्लिपर में आ गया था उससे 560 रुपये दिल्ली से कानपुर के टिकट बनाने का मांग रहे थे,बाद में 500 लेकर चले गए टिकट भी नही दिए,बोले 60 रुपये लेकर आओगे तो टिकट बनेगा।मेरे पास कोई सबुत नही।",2022
10,Prashanti train delayed 3 hours. Why???? #prashantitrain #Railways #IndianRailways,2022
11,"No care 2AC TIER MALWAEXPRESS 29-12-22,AC for only ticket price #indianrailway #IndianRailways",2022
12,"#JUSTIN 

பொங்கல் பண்டிகையை முன்னிட்டு சிறப்பு ரயில்களுக்கான முன்பதிவு இன்று காலை 8 மணி முதல் தொடங்கியது.

#IndianRailways #Pongal2023 #reflectnewstn 
@reflectnewstn
 #SouthernRailway #Pongal",2022
13,"When was the last time you traveled by the train and it  was on time,I usually travel by train and it is never on time, all this bullshit about fast railways and bullets. Try  and improve your normal railways system #railways 
#IndianRailways",2022
14,#indianrailways and punctuality is inversely proportional,2022
15,#IndianRailways  ट्रेन NO15658 ब्रह्मपुत्र मेल के बोगी 5B मे पानी नही है शौचालय बेहद गंदे है कृपया सफाई करवाने की कृपा करे #Gorakhpur,2022
16,"The name of Bhubaneswar Rourokala superfast should be delayed passenger. Railway in Odisha is so disgusting. 
@AshwiniVaishnaw
 @AprajitaSarangi
 @narendramodi
 @AmitShah
 @PMOIndia
 @UNSCO_MEPP
 @UNICEF
 @POTUS
 @UN
 #TRAIN #IndianRailways #Odisha",2022
17,"#IndianRailways 
#AswiniVaishnav 
#YogiAdityanath 

Train  No. 12165 is getting late please let me know the reason.",2022
18,"Train/15232: All The rating is to bad. This is the Failure of Government in the Department of Railways  #IndianRailways via 
@ConfirmTKT",2022
19,"Travelling from Mumbai to Nagpur 
#duranto in 3AC administration is not providing blanket paid dynamic pricing for journey #notfair
@IndianRailways
 @IRCTCofficial
 @AshwiniVaishnaw
 @RailMinIndia",2022
20,".
@RailMinIndia
 .
@Central_Railway
 मुंबई नागपुर दूरंतो ट्रेन में अभी तक बेडरोल क्यों नहीं दिये जा रहे है? क्यों सबको २५०₹ का बेडरोल लेने के लिए मजबूर किया जा रहा है? .
@RailMadad
 

.
@PMOIndia
 .
@AshwiniVaishnaw
 #IndianRailways कृपया संज्ञान लीजिए।",2022
21,"Hum nahi sudhrenge 
6.00 Am pohchane wali gadi 2 hours late jarahi 
vare indian railways
#IndianRailways",2022
22,"#IndianRailways 28th December 2022 Train No 19413 ADI KOLKATA EXPRESS, B1 AC Not Working, All Attended in Drunk State.",2022
23,"It's time 
@RailMinIndia
 @IRCTCofficial
 issued strict directions of railway rules to !diots travelling in 
@indianrailway__
 demanding to sleep on lower berths at 4 in the noon & trying to intimidate others? 
@AshwiniVaishnaw
 #IndianRailways",2022
24,"Train no 20801 magadh exp There is no coach attendant, no cleaning staff ..they have given dirty blankets to me plz look in it.. #IRCTC #IndianRailways",2022
25,"Dirty coaches, dirty floors, smelly toilet s Train No. / Name :12041 / SHATABDI EXP

#indianrailways",2022
26,"Travelling in Indian railways - specially Duronto express.
Route - lRajkot to mumbai 
I am constantly telling myself to hold my horses  #myroamingspirit #mrs #roamfree #IndianRailways 
Via 
@MOHIT881923",2022
27,"Just before the final stop, Indian Railways tends to make you wait for hours.
Lucknow Varanasi Krishak express 15008.
Non Reliable Railway. No value of time at all. 
#irctc #IndianRailways",2022
28,"Hi All 
The #IndianRailways are becoming worse day by day .I have a bad experience and I face every time when I go by train this is my opinion and I go with yes
Next #public opinion",2022
29,"Virangna Laxmi station kanpur memo need to clean there toilets
@indianrailways
 @jhansistation",2022
30,"Why train No. 09628 is late? And what is the current status of train? Is it started from source station? 
#IndianRailways #PMOIndia #IRCTC #railwayseva",2022
31,"In my childhood, i used to think that sleeper coaches on the train had beds and mattresses 
#RandomThoughts #IndianRailways 
#railwayjokes",2022
32,"No water in train 19426 S/2
From nandurbar to Borivali
So please refill water
Thanks for Indian railway
#IndianRailways",2022
33,"I am traveling with Indian railways and the IRCTC pantry services person not servings Rail neer they are serving some other local Brands.
And when we are demanding he is refusing to give that.

Train number 12247 Yuva express Bandra terminus to NZM #IndianRailway
#IndianRailways",2022
34,"#IndianRailways #ashwinivaishnaw 
Indian Railways we, the passengers of 12809 Hwh mail from CSMT on 28th Dec'22 are totally exhausted now. Now running more than 7.5hrs late, no water in toilets. You have least priority for passengers' precious times and comfort.",2022
35,"Complaint regarding lack of electricity/power failure for 2hrs in Retiring Room no.7 of Varanasi Jn.(BSB) vide booking through IRCTC against PNR-2349477197. 
Requested many times at the Counter but no fruitful result. 

Please take necessary action.
#IRCTC #IndianRailways",2022
36,"Indore railway station platform 5 and 6 does not have any ramp. Only a small lift which can carry 3 passengers and very high stairs. Passengers are facing difficulties to come out. Can we not expect better planning from railways. #IndianRailways , #indore",2022
37,"I am in Budh Purnima express 14223 some unsocial elements are hare they are smoking in train.
So many problems in this train #IndianRailways",2022
38,"There have been no recent announcements, no responsibility, but there is still great tourism and great railways.
 #latetrain #07128 #southernrailway
#IndianRailways",2022
39,"Indian railways although has improved but sometimes I feel why we book ticket in IRCTC if we have to ultimately pay to railway TT commission. 
#nirmalasitaraman 
#Railway #IndianRailways #nitingadkari
#IRCTC 
#piyushgoyal #ashwinivaishnav",2022
40,"#IndianRailways  Hi sir. In Hyderabad, lingampally signalling system is the worse. Train has been halted for more than 30 mins just before the station.",2022
41,"Dear Railway Minister!!
We are on train no 20802. 
It is getting continuously late.
We too have some kind of urgency. In spite of the clear line and clear weather it keeps on halting.

#IndianRailways #AshwiniVaishnaw",2022
42,"रेलवे के 3 करोड़ यूज़र्स का डेटा लीक होने के साथ-साथ गंभीर चिंता का विषय तो यह है कि, सभी रेलगाड़िया 15-20 घंटे विलंभ हो रही है या तो सीधा रद्द करदी जा रही है बिना किसी सूचना के !! 

आम जानता को झटका देने में कोई भी कसर नहीं छोड़ रही सरकार!
#IndianRailways 
@INCIndia
 @INCCG",2022
43,"Train 12843 almost 4 hours late in reaching Nagpur station. Is this the improvement we expect? Why can't we have trains running on time? All plans thrown haywire due to Indian Snailways. 
#IndianRailways 
@RailMinIndia",2022
44,"#IndianRailways train  16024 kcr to mysore- passengers troubled and pressurised by eunuchs to pay (in most trains) Passengers in unreserved compartment sleep on berths for sitting not cooperating with co-passengers  and cause inconvenience. Strict vigilance, control needed.",2022
45,"Today 
@indianrailways
 had a horrible experience travelling in 20806 AP EXP. no water, dirty toilets without anything nd water leakage fm toilet roof. Showing hollowness of railways nd its staff 
@RailMinistry_in
@ashwanivaishnav
@PMOIndia",2022
46,"#IndianRailways  Pune railway station is in such a mess.. authorities need your attention pls. Big city like Pune deserves better railway station and not such a over crowded, dirty and full of chaos station.
@RailMinIndia
 @WesternRly",2022
47,"Indian Railways - passenger service - my prediction:

2023 - LHB Coach production would be stopped

2027 - ICF Coach retirement from pax service

2029 - Suburban services - 100% AC Vande Bharat

2032 - LHB retirement from pax service and 100% AC

2034: All pax trains 160+ KMPH",2022
48,"Pathetic condition in Train Number 07695 Secbad to Rameshwaram no Bedsheets in 2nd AC and the coach is very very Ugly. Why you charge money when you can't provide basic services.
Dissatisfied  
@RailwaySeva
 @RailMinIndia
 @AshwiniVaishnaw
#IndianRailways",2022
49,"In case of train delay for more than 3 hours, 
@IRCTCofficial
 responded that TDR can be filed for refund for Tatkal confirmed tickets. However, the refund decision is subjective and decided by 
@RailMinIndia
  @SWRRLY
. Is #IRCTC different from #IndianRailways ? 
@AshwiniVaishnaw",2022
50,Indian Railways is set to be completely electrified with more than 100 Vande Bharat trains connecting major cities in 2023.,2022
51,"The Indian Railways have established a global identity. The newly launched projects will benefit the logistics sectors. The modern electric engines of India are going global: PM 
@narendramodi",2022
52,"Trains getting late by 3-4 hours, even #tejas is running late due to fog.
When will be overcome this problem? 
@RailMinIndia
@AshwiniVaishnaw
@narendramodi
#IndianRailways",2022
53,"Many asking about Indian Railways #databreach claims.

Well, the threat actor who posted it is habitual to posting old breaches as new, re-posting threats of others.

The data has records of only PhonePe, nothing substantial to say it’s related to official Indian railways website",2022
54,". 
@RailYatri
 
Any comment on your recent data breach??

#databreach #IndianRailways #Security",2022
55,"An incident regarding Indian Railways data breach has been reported in the media. In this connection, Railway Board had shared a possible data breach incident alert of CERT-In to IRCTC reporting a data breach pertaining to Indian Railways passengers: Indian Railways",2022
56," Indian Railways has allowed Private Telecom Players to Install 5G Towers on its Land

This will help Railways bring down costs, boost efficiency and strengthen the growth of 5G in the country",2022
57,"Under Congress rule Railway network in India was nationalized in 1951 and Indian Railways became one of the largest railway networks.
Desh ka Bal Sevadal 
#137YearsOfCongress",2022
58,Have you truly experienced Indian Railways in winters if your train isn't at least 12 hours late?,2022
59,"Congress govt made Indian Railways largest railway networks with115,000 km of track over a route of 67,312 km & 7,112 stations.
Desh ka Bal Sevadal 
#137YearsOfCongress",2022
60,"Indian Railways to upgrade 1,000 small stations across India under a new “Amrit Bharat Station Scheme”. This is in addition to the ambitious plan to renovate 200 large stations currently underway.",2022
61,"#DidYouKnow In the place where railway quarters stand now in the colony called Berkley Place in Byculla, stood a handsome bungalow which served as the residence of James Berkley, the first Chief Engineer of GIPR who planned the first rail line in India. #IndianRailways #History",2022
62,"When 
@IndiaRailNews
 @RailMinIndia
  will understand value of time? #Sabarmati to #bhavnagar train is most of time late? 4.33 train at Vastrapur is late by 15 minutes! Besides this, on Vastrapur station no indiaction board of which coach stops where.
#IndianRailways #indianrailway",2022
63,"Be it Security, Swacchata or Ease of Living, the Indian Railways is creating a new identity for #NewIndia with the efforts of #SabkaPrayas : PM 
@narendramodi",2022
64,"Respected sir 
@AshwiniVaishnaw
 @RailMinIndia
 @EastCoastRail
 @SpokespersonIR
 kindly join CCAAs candidates earlier in INDIAN RAILWAYS bcz they skilled workers.join us RRC CEN 01/2019 level 1 .",2022
65,"Indian railways conversation thread-

Babu password do.. message check karna hai! Trouble for Babu
Modi ji best hai
Yaar! Nahi karni hai bechari ko arrange marriage kyun kar rahe ho jabardasti.",2022
66,"భారతీయ రైల్వేపై సైబర్ దాడి వార్తలు జోరందుకున్నాయి. రైల్వే టికెట్లు బుక్ చేసుకున్న 3 కోట్ల మంది డేటాను హ్యాకర్లు దొంగిలించినట్లు తెలుస్తోంది. ‘మనీ కంట్రోల్’ వెబ్ సైట్ నివేదిక ప్రకారం, రైల్వేస్ పై సైబర్ దాడి మంగళవారం జరిగినట్లు సమాచారం. #IndianRailways",2022
67,"Beware of a #shoelifter in express trains #IRCTC just lost my #puma shoes,i got to knw when I passed #Surat 
Travelling from surendranagar to borivali on train no- 22994
@IRCTCofficial
 #IndianRailways",2022
68,"#PMFlagsOffVandeBharat
Be it Security, Swacchata or Ease of Living, the Indian Railways is creating a new identity for New India with the efforts of Sabka Prayas, said PM Modi.
via NaMo App",2022
69,"பொங்கல் பண்டிகைக்கான சிறப்பு ரயில்களுக்கு இன்று காலை 8 மணி முதல் முன்பதிவு தொடக்கம் - தென்னக ரயில்வே

#IndianRailways #Pongal2023",2022
70,"In another milestone achievement, the Sivok - Rangpo Rail Project achieved a breakthrough in Tunnel No. 12

#SivokRangpo #SivokRangpoRailProject #WestBengal #Sikkim #IndianRailways",2022
71,"Details & names of trains running in profit & loss are not maintained. However,on #IndianRailways 
occupancy pattern of trains is not uniform throughout the year & it varies over lean & peak periods. During peak rush periods,the occupancy of the trains especially in upper class",2022
72,"Another #VandeBharatExpress has been inaugurated.

But it is not the Semi HiSpeed Train we were told about.

@75kmph its slower than many Shatabdi, Rajdhani n Duronto operating on 
@indianrailways
 

But fare is about 40% up.",2022
73,"IRCTC data leak: Data of 3 crore passengers leaked and uploaded on dark web. 

IT department suggested to delete save card details and change password for security reasons.

#IRCTC #Hacked #IndianRailways #Railway #DarkWeb",2022
74,"The existing #Apprentices on Indian Railways are 18,463. None of the apprentices received permanent post after the apprenticeship programme, over the last five years: #IndianRailways Minister Shri. Ashwini Vaishnawi in Rajyasabha",2022
75,"The government has received Rs 903 crore and Rs 78 crore from the Indian Railway Finance Corporation and RITES Ltd respectively as dividend tranches.

#IndianRailways #RITES #Dividend",2022
76,"With timely capex & increasing exports, #SheelaFoam (SFL) : leading foam producer of  can grow at CAGR of 22%+ for next 2 yrs. #SFL is gaining market share through new product launches & is capitalising on the China+1 strategy & big supplies to Indian Railways. #stocktowatch",2022
77,"Compared to what it was four years back, I can tell you the railways cleanliness has improved tremendously. I have never seen our railway stations and trains as clean as I had seen this time. Kudos 
@RailMinIndia",2022
78,"Two senior citizens with health conditions discharged today from hospital in Kottakkal are traveling from Tirur to Chennai in MAQ Chennai Mail 12602 with PNR num 434-1721773  today please clear the waiting and confirm the tickets. 
@RailMinIndia
 @AshwiniVaishnaw
 @IRCTCofficial",2022
79,"This Train gareeb rath(22407) running 8 hrs late from its time.
Suffering 
@RailMinIndia
#needsolution",2022
80,"Thanks Indian Railways 
@RailMinIndia
 for such relaxed and ignorant management of 
@amarnathexpress
 (15653). The train is currently delayed by over 11 hours, the toilets are broken and full of shit, the train is the least priority at every station. Most pathetic experience ever.",2022
81,"12367 के पेन्ट्री कार के सभी स्टाफ रेलयात्रियों से MRP से अधिक मूल्य लेते हैं और जब बोला जाता है तो सभी स्टाफ मिलकर एक साथ बहस करने व लड़ाई करने को आतुर हो जाते हैं। ऐसे लोगों पर त्वरित करवाई करें। 
@RailMinIndia
 @RailwaySeva
 @IRCTCofficial
 @RailMadad",2022
82,"मैं अहमदाबाद असानसोल एक्सप्रेस में हु ट्रेन ५:३० घंटे विलंब से चल रही है मेरा टिकट S8 में है टोयलट का जो बुरा स्तिथि है वो कहा भी नहीं जाएगा शब्दों में सफाई का कोई नाम तक नहीं है क्या कर रही है रेल्वे पता नहीं 
@PMOIndia
@HMOIndia
@SwachhataKendra
@RailMinIndia
@RailMadad",2022
83,"ट्रेन नंबर 01665 रानी कमलापति से 29 दिसंबर को दोपहर साढ़े तीन बजे खुली । ये ट्रेन 10 घंटे लेट चल रही है। इसे नवगछिया दोपहर में पहुंचना था लेकिन अब इसका अनुमानित समय रात के 1 बजे का है। ऐसे में हम क्या करेंगे? रात में कैसे अपने घर पहुंचेंगे?
@RailMinIndia
 @AshwiniVaishnaw",2022
84,"15645 Dibrugarh express ट्रैन का परिचालन बहुत ही निंदनीय है। वर्तमान में ट्रेन लामडिंग स्टेशन पर 30 मिनट से अकारण खड़ी है।गुवहाटी से खुलने का बाद इस ट्रैन को लगभग 45 -45 मिनट के लिए अलग अलग स्टेशन पर रोक दिया जा रहा है। कृपया कुछ करे।  
@RailMinIndia
 @RailNf",2022
85,"Bedding is not unavailable in overnight journey from RMM to SC. Complaint number 2022123004412 closed with unsatisfactory response. Travelling with aged parents and kids. Requesting 
@RailwaySeva
 and 
@RailMinIndia
 to please look into this.",2022
86,"PNR-4141750533
Trn:07256
Dt:30-12-22
Frm SC to NGP
P1-B4,47
Attandent Not Available AC not Working Full Safocation  
@drmhyb
@drmsecunderabad
 @RailMinIndia
 @SrDCMSC
 @RailMadad
 @SrDCMSC
 @drmngpsecr",2022
87,"Train 12080 is already delayed by 2 hours. I have a connecting train 12658 by 10.40Pm from KSR Bengaluru, will 12080 reach before that or any other alternate ways are there? Will it be acceptable? 
@RailwaySeva
 @RailMinIndia
 @GMSRailway
 @IRCTCofficial",2022
88,"Train no. 19489 Ahemdabad-Gorakhpur Express is running late by 4hrs 45mins. If this thing continues, how a person in emergency will reach to his or her home 
@AmitShah
 @RailMinIndia
 @AshwiniVaishnaw",2022
89,"Pnr - 2834605947
Train number - 12555
DOJ - 30/12/2022
SEAT NUMBER - RAC S5 55
इस सीट पर महिला के साथ  बत्तमीजी हुई है किसी अज्ञात व्यक्ति ने उपरोक्त महिला जिसकी सीट है , का हाथ पकड़ कर उठाने की कोशिश की है कृपया करके मामले को तुरन्त संज्ञान में लेने की कृपा करें । 
@RailMinIndia",2022
90,"Complete chaos!!
For platform tickets one has to wait for 30 mnts 
@RailMinIndia",2022
