index,text,year
1,"I am traveling in Avadh express(19040). in s5. in my coach their are 25 girls all are juvenile some of them are crying and all feeling unsecure.
@RailMinIndia
 @PiyushGoyal
 @PMOIndia
 @PiyushGoyalOffc
 @narendramodi
 @manojsinhabjp
 @yogi",2018
2,"Very poor facilities in train 04420 NZM MAO SPCL. Washrooms are dirty, no water, no availability of drinking water. We’re traveling miserably. 
@WesternRly
 @PiyushGoyal
 @RailMinIndia
 @PMOIndia",2018
3,"Travelling in Delhi Mumbai special train having PNR2518075477 ,attendant refused to provide us bed roll/blanket. Please confirm RAC passengers are entitled to Bed Roll or Not, if yes why same has not been provided to us. 
@PiyushGoyal
 @PiyushGoyalOffc
 @RailMinIndia
 @manojsinhabjp",2018
4,"मुम्बई से दरभंगा के लिए सुखद रेलयात्रा के लिए जरूरी है रेल संख्या की बढ़ोत्तरी।
@PMOIndia
@cmbihar
 
@CMBiharOffice
 
@aajtak
 
@RailMinIndia
 

#MithilaRailSamasya",2018
5,"My fiance & her friends traveling MAS to TVM 12695 2day 28/12. Person sitting opposite clicked photos, informed TC but no help. Rqst immediate help. 
@PiyushGoyalOffc
 @PiyushGoyal
 @RailMinIndia
 @manojsinhabjp
 @narendramodi
 @narendramodi_in",2018
6,"Traveling in train no. 22461 to SVDK coach b3 seat 37. I ordered food it was smelling so bad that i puked i am not felling well i need a doctor. Feeling like i will puke out my intestines #railwayminister 
@PiyushGoyal
  @PiyushGoyalOffc
 @RailMinIndia
 @RailwayNorthern
 @PMOIndia",2018
7,"#mithilarailsamasya #msu4rail 
भेड़ बकरी के तरह नही जाना है भीख नही अधिकार चाहिए।
हमको तो बस मुम्बई से दरभंगा के लिए एक और ट्रेन चाहिए।
जय मिथिला
@PiyushGoyal
 @PiyushGoyal
 @RailMinIndia
 @CPRONCR",2018
8,"My parents are travelling in sevagram express and they were having RAC. The TC have alloted the seats to other passengers who were having waiting reservation but not alloting to them. pnr no. 8434928454 Plz help as it is late at night  
@RailMinIndia
  @PiyushGoyal
 @WesternRly",2018
9,"Mithila se agar election jitna hai to Ltt to Darbhanga train Badhao 
#MithilaRailSamasya 
#msu4rail 
@PiyushGoyal
 
@PiyushGoyalOffc
 @RailMinIndia
 
@PMOIndia
 
@CMOBihar
 
@NitishKumar",2018
10,"#mithilarailsamasya

सरकार बात कर रही है बुलेट ट्रेन लाने की । लेकिन दुर्भाग्य की बात मुम्बई से मिथिला के लिए शताब्दी , अंत्योदय एक्सप्रेस भी नही ।
@PMOIndia
 
@cmbihar
 
@RailMinIndia
 
@CMBiharOffice
 
@BiplavJha
 ",2018
11,"Pnr 4453339868 complaints that fellow passengers r playing games on mobile & disturbing fellow passengers,
Kindly & humbly pls take necessary actions & do needful & save the HUMAN RIGHTS
Dr. Suraj Jagwani MBBS DOMS & II YEAR LLB LAW STUDENT 
@RailwaySeva
 @RailMinIndia
 @drmsbc",2018
12,"Pnr 4453339868, myself Dr Suraj Jagwani MBBS DOMS (eye Dr) complaints that fellow passengers r playing games, music & disturbing other travelers, kindly take action u/s 145 IRA & morn I'm having DUTY IN HOSPITAL & refund my fare for no law & order 
@RailMinIndia
 @drmsbc
 @PMOIndia",2018
13,"#Injusticeirps 
Satya hamesha jeet ta hai..
Uski avhelna ho sakti hai..
Par parajaya nahin..
Acche din aayenge jaroor..
Dopt, CRC, Fin Min, GOI ne Kuch galat kaha kya....
#MSforIRPS 
# SatyamevJayate 
@IrpsOfficers
 
@DoPTGoI
 ",2018
14,"Trains from major cities to Darbhanga and Madhubani...
#MithilaRailSamasya 
@PiyushGoyalOffc
 @PiyushGoyal
 @PMOIndia
 @RailMinIndia",2018
15,"Implement recommendations of CPC. Encadre MS post for IRPS. It is not only logical but fair to the interests of all those specialized HR officers who have given their all to their service! #MSforIRPS 
@PiyushGoyalOffc
  @PMOIndia
 @RailMinIndia
 @DrJitendraSingh",2018
16,"Train no.24369 Triveni Express is delayed 2hrs in Chopan. Kindly look hon'ble 
@PiyushGoyal
 @manojsinhabjp
 @RailMinIndia
 @GMNCR1
 @drmljn
 @vnsamarujala
 @JagranNews
 .",2018
17,"मुम्बई से दरभंगा ट्रेनों की संख्या बढ़ाए जाने को लेकर आज दोपहर 3:00 से 5:00 के बीच ट्विटर पर #MithilaRailSamasya हैशटैग के साथ इन ट्विटर हैंडल्स को ट्वीट करें
@PiyushGoyalOffc
, 
@RailMinIndia
, 
@PMOIndia
, 
@central_Railway
@CMBiharOffice
@cmbihar
@narendramodi
आपका सहयोग अपेक्षित है",2018
18,"#MSforIRPS 
@PMOIndia
  @DrJitendraSingh
 @RailMinIndia",2018
19,"Creation of any othr post of Member shd depnd on functionl (not numerical) considerations.
Let tht propsal be examind by othr bodies 
@DoPTGoI
 et al .
Why mix it wit #MSforIRPS ?
To ensure tht nothng materialises ??
Wake up 
@RailMinIndia
 

@PMOIndia
 wd see thru it.
#injusticeirps",2018
20,"दीवाली, होली ,दुर्गा पूजा और छठ पूजा के समय नही मिलता है टिकेट 
ट्रेन बढ़ाया जाय
मिथिला रेल समस्या 
#mithilarailsamasya
#msu4rail 
@PiyushGoyalOffc
, 
@RailMinIndia
, 
@PMOIndia
@CMBiharOffice
@cmbihar
@narendramodi",2018
21,"Targetting a voice or two will only set wrong precedence. Justice will only be served when it's served right. 
End #Injusticeirps 
@PMOIndia
@DoPTGoI
 @RailMinIndia
@FinMinIndia
 @PiyushGoyal
@IrpsOfficers
#MSforIRPS",2018
22,"neta je Kabhi pawan express ke sleeper me safar kar ke dekhye
#MithilaRailSamasya #msu4rail 
@PiyushGoyal
 
@PiyushGoyalOffc
 
@RailMinIndia
 
@PMOIndia
 
@CMOBihar
 @NitishKumar
 @SushilModi",2018
23,"Hamare 
@Abhijeetbharad8
 Bhai bolte hai Pawan express ke bathroom me safar Karne se nijaat pana hai to awaj uthao 
#MithilaRailSamasya 
#msu4rail 
@RahulGandhi
 
@PiyushGoyal
 @PiyushGoyalOffc
 
@PMOIndia
 @NitishKumar
 @SushilModi
 @RailMinIndia",2018
24,"भिख नही अधिकार चाहिए हमे भेर बकड़ी कि तरह सफर करने से निजात चाहिए एल टि टि से दरभंगा के लिए और एक स्लीपर टेन चाहिए नही तो होगा हल्ला बोल 
#MithilaRailSamasya #msu4rail 
@PiyushGoyal
 @PiyushGoyalOffc
 
@RailMinIndia
 @PMOIndia
 @narendramodi
 @CMOBihar
 @SushilModi
 @NitishKumar",2018
