Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State Name
BASTAR,10,MAHESH KASHYAP,Bharatiya Janata Party,KAWASI LAKHMA,Indian National Congress,55245,Result Declared,Chhattisgarh
BILASPUR,5,TOKHAN SAHU,Bharatiya Janata Party,DEVENDRA YADAV,Indian National Congress,164558,Result Declared,Chhattisgarh
DURG,7,VIJAY BAGHEL,Bharatiya Janata Party,RAJENDRA SAHU,Indian National Congress,438226,Result Declared,Chhattisgarh
JANJGIR-CHAMPA,3,KAMLESH JANGDE,Bharatiya Janata Party,DR. SHIVKUMAR DAHARIYA,Indian National Congress,60000,Result Declared,Chhattisgarh
KANKER,11,BHOJRAJ NAG,Bharatiya Janata Party,BIRESH THAKUR,Indian National Congress,1884,Result Declared,Chhattisgarh
KORBA,4,JYOTSNA CHARANDAS MAHANT,Indian National Congress,SAROJ PANDEY,Bharatiya Janata Party,43283,Result Declared,Chhattisgarh
MAHASAMUND,9,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,TAMRADHWAJ SAHU,Indian National Congress,145456,Result Declared,Chhattisgarh
RAIGARH,2,RADHESHYAM RATHIYA,Bharatiya Janata Party,DR. MENKA DEVI SINGH,Indian National Congress,240391,Result Declared,Chhattisgarh
RAIPUR,8,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,VIKAS UPADHYAY,Indian National Congress,575285,Result Declared,Chhattisgarh
RAJNANDGAON,6,SANTOSH PANDEY,Bharatiya Janata Party,BHUPESH BAGHEL,Indian National Congress,44411,Result Declared,Chhattisgarh
SURGUJA,1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,SHASHI SINGH KORAM,Indian National Congress,64822,Result Declared,Chhattisgarh
