Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State Name
Hathras,16,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,JASVEER VALMIKI,Samajwadi Party,247318,Result Declared,Uttar Pradesh
Jalaun,45,NARAYAN DAS AHIRWAR,Samajwadi Party,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,53898,Result Declared,Uttar Pradesh
Jaunpur,73,BABU SINGH KUSHWAHA,Samajwadi Party,KRIPASHANKAR SINGH,Bharatiya Janata Party,99335,Result Declared,Uttar Pradesh
Jhansi,46,ANURAG SHARMA,Bharatiya Janata Party,"PRADEEP JAIN ""ADITYA""",Indian National Congress,102614,Result Declared,Uttar Pradesh
Kairana,2,IQRA CHOUDHARY,Samajwadi Party,PRADEEP KUMAR,Bharatiya Janata Party,69116,Result Declared,Uttar Pradesh
Kaiserganj,57,KARAN BHUSHAN SINGH,Bharatiya Janata Party,BHAGAT RAM,Samajwadi Party,148843,Result Declared,Uttar Pradesh
Kannauj,42,AKHILESH YADAV,Samajwadi Party,SUBRAT PATHAK,Bharatiya Janata Party,170922,Result Declared,Uttar Pradesh
Kanpur,43,RAMESH AWASTHI,Bharatiya Janata Party,ALOK MISRA,Indian National Congress,20968,Result Declared,Uttar Pradesh
Kaushambi,50,PUSHPENDRA SAROJ,Samajwadi Party,VINOD KUMAR SONKAR,Bharatiya Janata Party,103944,Result Declared,Uttar Pradesh
Kheri,28,UTKARSH VERMA 'MADHUR',Samajwadi Party,AJAY KUMAR,Bharatiya Janata Party,34329,Result Declared,Uttar Pradesh
Kushi Nagar,65,VIJAY KUMAR DUBAY,Bharatiya Janata Party,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,81790,Result Declared,Uttar Pradesh
Lalganj,68,DAROGA PRASAD SAROJ,Samajwadi Party,NEELAM SONKER,Bharatiya Janata Party,115023,Result Declared,Uttar Pradesh
Lucknow,35,RAJ NATH SINGH,Bharatiya Janata Party,RAVIDAS MEHROTRA,Samajwadi Party,135159,Result Declared,Uttar Pradesh
Machhlishahr,74,PRIYA SAROJ,Samajwadi Party,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,35850,Result Declared,Uttar Pradesh
Maharajganj,63,PANKAJ CHAUDHARY,Bharatiya Janata Party,VIRENDRA CHAUDHARY,Indian National Congress,35451,Result Declared,Uttar Pradesh
Mainpuri,21,DIMPLE YADAV,Samajwadi Party,JAYVEER SINGH,Bharatiya Janata Party,221639,Result Declared,Uttar Pradesh
Mathura,17,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,MUKESH DHANGAR,Indian National Congress,293407,Result Declared,Uttar Pradesh
Meerut,10,ARUN GOVIL,Bharatiya Janata Party,SUNITA VERMA,Samajwadi Party,10585,Result Declared,Uttar Pradesh
Mirzapur,79,ANUPRIYA PATEL,Apna Dal (Soneylal),RAMESH CHAND BIND,Samajwadi Party,37810,Result Declared,Uttar Pradesh
Misrikh,32,ASHOK KUMAR RAWAT,Bharatiya Janata Party,SANGITA RAJVANSHI,Samajwadi Party,33406,Result Declared,Uttar Pradesh
